name,lat,lng,adderss,street_id,telephone,detail,uid
中国银行24小时自助银行(北京皂君庙支行),39.959741,116.341911,大柳树路17号富海中心2号富海大厦101,7cc3b37fcd724ede4c6d465b,,1,7cc3b37fcd724ede4c6d465b
交通银行24小时自助银行(北京双榆树支行),39.975967,116.340294,中关村东路123-4,2caa5b8d361201f5d0f49ee0,,1,2caa5b8d361201f5d0f49ee0
北京银行24小时自助银行(中关村科技园区支行),39.982321,116.326511,中关村大街甲28海淀文化艺术大厦B座1层,b4d7f137ef1d4f1ea31de91a,,1,b4d7f137ef1d4f1ea31de91a
中国建设银行24小时自助银行服务,39.982771,116.357496,知春路17-7号致真大厦C座,a76160fac7110d0c9a00504b,,1,a76160fac7110d0c9a00504b
中国农业银行ATM(北京中关村分行营业室),39.981775,116.355984,北京市海淀区知春路6号锦秋国际,beabdbf4a6a49ae67069d351,,1,beabdbf4a6a49ae67069d351
中国建设银行24小时自助银行(北京四道口支行),39.966002,116.352178,:北京市海淀区四道口路2号院1,52dc09da38add052a5da390d,,1,52dc09da38add052a5da390d
中国建设银行24小时自助银行(北京白石桥支行),39.952905,116.335906,北京市海淀区中关村南大街46号,f8153052c4d0efad16c905d0,,1,f8153052c4d0efad16c905d0
中国建设银行ATM(中关村南大街支行),39.960191,116.329353,海淀区中关村南大街17号院2号,04acf7d9c03635fc96f08c70,,1,04acf7d9c03635fc96f08c70
中国工商银行ATM(双安商场),39.972495,116.332927,北京市海淀区北三环西路38号北京双安商场1层,a4d8a20eeba1aaf6f33cba11,,1,a4d8a20eeba1aaf6f33cba11
北京市农村商业银行ATM(双榆树分理处),39.977044,116.331432,科学院南路31号,ea4a3dc9829d772e4e554740,,1,ea4a3dc9829d772e4e554740
招商银行24小时自助银行(双榆树支行),39.963709,116.328933,北京市海淀区中关村南大街9号理工科技大厦一层,dffd631cd608ebbc38221c41,,1,dffd631cd608ebbc38221c41
招商银行ATM(北京双安商场),39.972494,116.332895,北京市海淀区北三环西路38号北京双安商场F1,1bd6091b8eba7ca50d3dda59,,1,1bd6091b8eba7ca50d3dda59
中国工商银行24小时自助银行(学院南路支行),39.963934,116.347263,学院南路47-2,7a63d410dcccff7340e19219,,1,7a63d410dcccff7340e19219
中国工商银行离行式自助服务区(北京分行海淀支行知春路（地铁十号线知春路）),39.981691,116.34634,北京市海淀区知春路42号,,,1,e2f0bb6d69f5e68d223bf2fe
浦发银行ATM(凯德MALL),39.947034,116.359475,北京市西城区西直门外大街1号凯德MALLF1,,,1,541935f9d46011c72902e17e
建行atm,39.950265,116.354638,海淀区高梁桥斜街59号院2号楼(中国建设银行长河湾支行2楼),49efc071f1ff57f8018972fc,,1,89fd4ea30edd7839e4e965b2
中国工商银行ATM,39.965032,116.341253,皂君庙西里甲8号,efb4febf9fa93cefeddfca27,,1,efb4febf9fa93cefeddfca27
招行ATM,39.982467,116.351117,北京市海淀区知春路27号量子芯座大厦一层,e85e25279cbc0f2e95f08c3e,,1,e85e25279cbc0f2e95f08c3e
中国工商银行ATM(北京海淀支行),39.983264,116.340794,北京市海淀区中关村东路100号(海淀支行门口),7891c91437d6d7224251c012,,1,7891c91437d6d7224251c012
中国银行ATM,39.956156,116.344198,北京市海淀区高粱桥斜街甲13号,12119d8950c7b2bf1df74d36,,1,12119d8950c7b2bf1df74d36
兴业银行ATM(海淀南路),39.982577,116.322357,中关村大街29号海淀医院1层收费处旁,,,1,b0670fc09213c9485cbe86b3
江苏银行ATM,39.986993,116.315054,善缘街1立方·庭附近,74c65ed940daddb749fc8dca,,1,74c65ed940daddb749fc8dca
恒生银行ATM(中关村支行),39.985822,116.3179,北京市海淀区丹棱街3号中国电子大厦A座1层103室,19fe262f05118aca8bdb7326,,1,19fe262f05118aca8bdb7326
中国青年政治学院24小时自助银行,39.956768,116.314609,清正中路与清正西路交叉口东50米,bccd9a9c1ae04ca8ede4a5a7,,1,bccd9a9c1ae04ca8ede4a5a7
渤海银行24小时自助银行(万柳支行),39.966197,116.307832,北京市海淀区长春桥路11号亿城中心C1座大厦底墒,d7cc8e3e5b8d220c77026942,,1,f4a33da9384d62743010af22
中国民生银行24小时自助银行(北京紫竹支行),39.950484,116.312238,紫竹院路31号华澳中心1层,dfc496b6fdb43ed18836eebd,,1,dfc496b6fdb43ed18836eebd
汇丰银行ATM(中国电子大厦),39.985283,116.318861,丹棱街3号中国电子大厦,4edf9fbff1901094cc06a443,,1,4edf9fbff1901094cc06a443
南京银行24小时自助银行(北京万柳支行),39.973552,116.308119,万泉庄路28号,ab5abab2d745174b02294f56,,1,ab5abab2d745174b02294f56
中国工商银行24小时自助银行(北京万柳支行),39.973833,116.300258,万柳星标家园11号楼商业1号大厦,691305235a1f4b08725e8046,,1,691305235a1f4b08725e8046
北京市农村商业银行24小时自助银行(小南庄路),39.971612,116.309876,北京市海淀区如家快捷酒店(苏州桥店)东南,2e00c3e361dd9759c9fa5fa6,,1,2e00c3e361dd9759c9fa5fa6
中信银行24小时自助银行(北京万柳支行),39.973737,116.301179,万柳星标家园5,d6c5d991f1747be830169b43,,1,d6c5d991f1747be830169b43
北京市农村商业银行24小时自助银行(海淀支行),39.968992,116.313572,北京市海淀区苏州街79号,cdef4edf5707f33028d7ab27,,1,cdef4edf5707f33028d7ab27
中国工商银行24小时自助银行(北京紫竹桥支行),39.947283,116.32058,紫竹院路甲1中国工商银行(北京紫竹桥支行)附近,8e5a456e4a7631f115a190eb,,1,8e5a456e4a7631f115a190eb
中国银行ATM(世纪金源购物中心),39.964446,116.297507,北京市海淀区远大路1号贵友大厦F1,a2fbfe2e800e3f6383a00c18,,1,a2fbfe2e800e3f6383a00c18
中国光大银行ATM(北京万柳支行),39.973962,116.303102,北京市海淀区万柳中路11号派顿大厦1层,fa2262ed64462aea3904b1fb,,1,fa2262ed64462aea3904b1fb
中国工商银行24小时自助银行(北京苏州桥支行),39.967064,116.309797,北京市海淀区长春桥路5号11好楼首层,98afe7fc48ffde5691114c82,,1,98afe7fc48ffde5691114c82
中国银行24小时自助银行(万柳中路支行),39.975663,116.303381,北京市海淀区万柳中路6号院1号,0f4c97bd66cf42f935b06c94,,1,0f4c97bd66cf42f935b06c94
渣打银行ATM(中关村支行),39.986797,116.318599,海淀中街6新东方大厦1层,56f2f6968a3f2cfe0aa8d4e2,,1,56f2f6968a3f2cfe0aa8d4e2
交通银行ATM(外研社大厦西南),39.960095,116.314714,北京市海淀区西三环北路19号院,7dae4d4a1b5cda14081cc7dd,,1,7dae4d4a1b5cda14081cc7dd
北京银行ATM(新中关购物中心),39.984162,116.322861,北京市海淀区北京市海淀区中关村大街19号新中关购物中心B1,e407dccaeb499e612811d124,,1,e407dccaeb499e612811d124
中国建设银行ATM(北京外国语大学7号楼学生公寓南),39.961354,116.319487,北京市海淀区西三环北路2号北京外国语大学内,3048a78738c894023586f4f9,,1,3048a78738c894023586f4f9
交通银行24小时自助银行(万柳支行),39.967055,116.30903,长春桥路11-1号万柳亿城中心B座,75cee446b15f0afdf8f0cbbd,,1,75cee446b15f0afdf8f0cbbd
中国银行ATM(北京万泉河支行),39.971657,116.314585,北京市海淀区苏州街72号,4cfd60254a935426250bd018,(010)82659293,1,4cfd60254a935426250bd018
中国农业银行ATM,39.98379,116.312166,北京市海淀区苏州街29号(维亚大厦一层),ab49c9f9ec512424f4e73b79,,1,ab49c9f9ec512424f4e73b79
中国光大银行ATM(北京外国语大学社区北),39.961325,116.319478,北京市海淀区西三环北路2号北京外国语大学,373cf7572a8eea6e4354d740,,1,373cf7572a8eea6e4354d740
中信银行ATM(世纪金源购物中心),39.964444,116.29752,北京市海淀区远大路1号金源新燕莎MALLF1,a301a5b1c834d0648bdb7365,,1,a301a5b1c834d0648bdb7365
农行atm,39.978431,116.316465,北京市海淀区中关村大街59号中国人民大学校内,5c81a0718a4fbfb52bd7ab09,,1,5c81a0718a4fbfb52bd7ab09
中国建设银行24小时自助银行(北京外国语大学支行),39.960933,116.315144,西三环北路19号北外国际大厦1层东侧大厅,f79b8089a7feb3d11b94c6e6,,1,dad061ab5247c71707fef55f
北京银行ATM(魏公村南区北),39.960457,116.322161,北京市海淀区西三环北路2号北京外国语大学东院学生食堂,d7fd2ad3ac4ed32a0bccdd12,,1,d7fd2ad3ac4ed32a0bccdd12
交通银行ATM(海淀南路),39.981502,116.309076,海淀南路33号(艾瑟顿国际公寓西北),38aacda888395c591c38944a,,1,38aacda888395c591c38944a
中国农业银行ATM(民族大学西路),39.955455,116.323099,北京市海淀区万寿寺甲4号,1420145843a3aec57ab55c54,,1,1420145843a3aec57ab55c54
中国银行24小时自助银行(中钢国际大厦),39.987975,116.320125,海淀大街8号中钢国际大厦3层,325089789d468652b11e3651,,1,325089789d468652b11e3651
中国农业银行ATM(中关村支行),39.98537,116.318611,北京市海淀区丹棱街3号中国电子大厦1层,27ef47c80a4c1d12d13ce3d2,,1,27ef47c80a4c1d12d13ce3d2
中国邮政储蓄银行ATM(百万庄支行),39.933645,116.347691,百万庄大街18号,4edf9fbf8edf51e9cd06a4b3,,1,4edf9fbf8edf51e9cd06a4b3
华夏银行24小时自助银行(北京首体支行),39.943933,116.33438,海淀区西直门外大街168-2,25d935ea9c30554f54bfff16,,1,25d935ea9c30554f54bfff16
兴业银行24小时自助银行(北京月坛支行),39.938482,116.354021,西城区车公庄大街9号五栋大楼A-03号,bba87388454ca7a0bca82233,,1,bba87388454ca7a0bca82233
